Initial makespan = 2792, Initial flowtime = 0, runtime = 43.3195
Iteration 564, Neighborhood size 8, Makespan = 1325, Flowtime = 0, Runtime = 68
Iteration 566, Neighborhood size 8, Makespan = 1319, Flowtime = 0, Runtime = 68
Iteration 572, Neighborhood size 8, Makespan = 1318, Flowtime = 0, Runtime = 68
Iteration 575, Neighborhood size 8, Makespan = 1316, Flowtime = 0, Runtime = 68
Iteration 576, Neighborhood size 8, Makespan = 1315, Flowtime = 0, Runtime = 68
Iteration 580, Neighborhood size 8, Makespan = 1314, Flowtime = 0, Runtime = 68
Iteration 582, Neighborhood size 8, Makespan = 1307, Flowtime = 0, Runtime = 68
Iteration 584, Neighborhood size 8, Makespan = 1306, Flowtime = 0, Runtime = 68
Iteration 589, Neighborhood size 8, Makespan = 1305, Flowtime = 0, Runtime = 69
Iteration 605, Neighborhood size 8, Makespan = 1304, Flowtime = 0, Runtime = 69
Iteration 609, Neighborhood size 8, Makespan = 1303, Flowtime = 0, Runtime = 69
Iteration 615, Neighborhood size 8, Makespan = 1301, Flowtime = 0, Runtime = 70
Iteration 616, Neighborhood size 8, Makespan = 1300, Flowtime = 0, Runtime = 70
Iteration 628, Neighborhood size 8, Makespan = 1299, Flowtime = 0, Runtime = 70
Iteration 630, Neighborhood size 8, Makespan = 1298, Flowtime = 0, Runtime = 70
Iteration 631, Neighborhood size 8, Makespan = 1297, Flowtime = 0, Runtime = 70
Iteration 633, Neighborhood size 8, Makespan = 1291, Flowtime = 0, Runtime = 70
Iteration 636, Neighborhood size 8, Makespan = 1289, Flowtime = 0, Runtime = 71
Iteration 664, Neighborhood size 8, Makespan = 1288, Flowtime = 0, Runtime = 72
Iteration 666, Neighborhood size 8, Makespan = 1287, Flowtime = 0, Runtime = 72
Iteration 674, Neighborhood size 8, Makespan = 1286, Flowtime = 0, Runtime = 72
Iteration 675, Neighborhood size 8, Makespan = 1281, Flowtime = 0, Runtime = 72
Iteration 677, Neighborhood size 8, Makespan = 1279, Flowtime = 0, Runtime = 72
Iteration 685, Neighborhood size 8, Makespan = 1278, Flowtime = 0, Runtime = 72
Iteration 686, Neighborhood size 8, Makespan = 1275, Flowtime = 0, Runtime = 72
Iteration 691, Neighborhood size 8, Makespan = 1271, Flowtime = 0, Runtime = 73
Iteration 695, Neighborhood size 8, Makespan = 1269, Flowtime = 0, Runtime = 73
Iteration 703, Neighborhood size 8, Makespan = 1266, Flowtime = 0, Runtime = 73
Iteration 704, Neighborhood size 8, Makespan = 1265, Flowtime = 0, Runtime = 73
Iteration 705, Neighborhood size 8, Makespan = 1264, Flowtime = 0, Runtime = 73
